"infinitive","infinitive_english","mood","mood_english","tense","tense_english","verb_english","YO","TÚ","ÉL/ELLA/USTED","NOSOTROS","VOSOTROS","ELLOS/ELLAS/USTEDES","gerund","gerund_english","pastparticiple","pastparticiple_english"
"haber","to have","Indicativo","indicative","presente","present","have","he","has","ha","hemos","habéis","han","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","imperfecto","imperfect","have","había","habías","había","habíamos","habíais","habían","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","pretérito","past","have","hube","hubiste","hubo","hubimos","hubisteis","hubieron","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","futuro","future","have","habré","habrás","habrá","habremos","habréis","habrán","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","potencial simple","potential simple","have","habría","habrías","habría","habríamos","habríais","habrían","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","presente","present","have","haya","hayas","haya","hayamos","hayáis","hayan","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","imperfecto","imperfect","have","hubiera","hubieras","hubiera","hubiéramos","hubierais","hubieran","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","imperfecto","imperfect","have","hubiese","hubieses","hubiese","hubiésemos","hubieseis","hubiesen","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Imperativo","imperative",""," - ","have","hé; no","hayas","haya","hayamos","habed; no hayáis","hayan","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","perfecto","perfect","have","he","has","ha","hemos","habéis","han","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","pluscuamperfecto","pluperfect","have","había habido","habías habido","había habido","habíamos habido","habíais habido","habían habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","pretérito anterior","preterite anterior","have","hube habido","hubiste habido","hubo habido","hubimos habido","hubisteis habido","hubieron habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","futuro perfecto","future perfect","have","habré habido","habrás habido","habrá habido","habremos habido","habréis habido","habrán habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Indicativo","indicative","potencial compuesto","potential compound","have","habría habido","habrías habido","habría habido","habríamos habido","habríais habido","habrían habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","perfecto","perfect","have","haya habido","hayas habido","haya habido","hayamos habido","hayáis habido","hayan habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","pluscuamperfecto","pluperfect","have","hubiera habido","hubieras habido","hubiera habido","hubiéramos habido","hubierais habido","hubieran habido","habiendo","Gerundio","habido","Part. pas."
"haber","to have","Subjuntivo","subjunctive","pluscuamperfecto","pluperfect","have","hubiese habido","hubieses habido","hubiese habido","hubiésemos habido","hubieseis habido","hubiesen habido","habiendo","Gerundio","habido","Part. pas."
